subj,word,sex,language,rating
11,1,m,ger,-3
11,2,f,ger,-3
11,3,f,ger,-3
11,4,f,ger,-1
11,5,m,ger,3
11,6,f,ger,-3
11,7,m,ger,-3
11,8,m,ger,5
11,9,f,ger,6
11,10,m,ger,7
11,11,m,ger,-6
11,12,f,ger,9
11,13,f,ger,-5
11,14,m,ger,5
11,15,f,ger,9
11,16,m,ger,-7
11,17,m,ger,-1
11,18,m,ger,13
11,19,m,ger,-3
11,20,m,ger,-9
11,21,f,ger,-5
11,22,m,ger,-3
11,23,f,ger,-1
11,24,m,ger,-5
12,1,m,ger,5
12,2,f,ger,2
12,3,f,ger,-1
12,4,f,ger,5
12,5,m,ger,8
12,6,f,ger,-3
12,7,m,ger,-3
12,8,m,ger,-9
12,9,f,ger,9
12,10,m,ger,9
12,11,m,ger,-2
12,12,f,ger,2
12,13,f,ger,3
12,14,m,ger,1
12,15,f,ger,5
12,16,m,ger,-1
12,17,m,ger,-3
12,18,m,ger,9
12,19,m,ger,-1
12,20,m,ger,3
12,21,f,ger,-9
12,22,m,ger,3
12,23,f,ger,7
12,24,m,ger,-3
13,1,m,ger,5
13,2,f,ger,-1
13,3,f,ger,-1
13,4,f,ger,5
13,5,m,ger,3
13,6,f,ger,-9
13,7,m,ger,5
13,8,m,ger,-5
13,9,f,ger,3
13,10,m,ger,-1
13,11,m,ger,-7
13,12,f,ger,3
13,13,f,ger,1
13,14,m,ger,-1
13,15,f,ger,-1
13,16,m,ger,-7
13,17,m,ger,1
13,18,m,ger,-1
13,19,m,ger,-9
13,20,m,ger,-1
13,21,f,ger,-7
13,22,m,ger,3
13,23,f,ger,11
13,24,m,ger,-3
14,1,m,ger,3
14,2,f,ger,-7
14,3,f,ger,-1
14,4,f,ger,3
14,5,m,ger,-1
14,6,f,ger,-3
14,7,m,ger,-6
14,8,m,ger,1
14,9,f,ger,9
14,10,m,ger,3
14,11,m,ger,-3
14,12,f,ger,7
14,13,f,ger,-11
14,14,m,ger,-3
14,15,f,ger,5
14,16,m,ger,-5
14,17,m,ger,-7
14,18,m,ger,7
14,19,m,ger,1
14,20,m,ger,4
14,21,f,ger,-9
14,22,m,ger,-13
14,23,f,ger,5
14,24,m,ger,-5
15,1,m,ger,0
15,2,f,ger,-5
15,3,f,ger,3
15,4,f,ger,1
15,5,m,ger,5
15,6,f,ger,1
15,7,m,ger,3
15,8,m,ger,-9
15,9,f,ger,1
15,10,m,ger,-3
15,11,m,ger,-7
15,12,f,ger,-1
15,13,f,ger,-5
15,14,m,ger,-1
15,15,f,ger,2
15,16,m,ger,-9
15,17,m,ger,-11
15,18,m,ger,7
15,19,m,ger,-5
15,20,m,ger,1
15,21,f,ger,-9
15,22,m,ger,-1
15,23,f,ger,-1
15,24,m,ger,-5
16,1,m,ger,-1
16,2,f,ger,-3
16,3,f,ger,-9
16,4,f,ger,-5
16,5,m,ger,0
16,6,f,ger,-3
16,7,m,ger,-3
16,8,m,ger,9
16,9,f,ger,2
16,10,m,ger,-2
16,11,m,ger,-6
16,12,f,ger,9
16,13,f,ger,3
16,14,m,ger,-5
16,15,f,ger,-3
16,16,m,ger,-7
16,17,m,ger,-7
16,18,m,ger,11
16,19,m,ger,-6
16,20,m,ger,7
16,21,f,ger,-9
16,22,m,ger,-5
16,23,f,ger,3
16,24,m,ger,3
17,1,m,ger,1
