subj,word,assoc_i,sex_port,sex_ger,sex,language,rating
3,9,1,m,f,m,por,3
3,9,2,m,f,m,por,-1
3,9,3,m,f,m,por,5
3,10,1,f,m,f,por,3
3,10,2,f,m,f,por,-3
3,10,3,f,m,f,por,3
3,11,1,f,m,f,por,-5
3,11,2,f,m,f,por,1
3,11,3,f,m,f,por,1
3,12,1,m,f,m,por,-3
3,12,2,m,f,m,por,-5
3,12,3,m,f,m,por,-3
3,13,1,m,f,m,por,-1
3,13,2,m,f,m,por,-3
3,13,3,m,f,m,por,-5
3,14,1,f,m,f,por,-1
3,14,2,f,m,f,por,-1
3,14,3,f,m,f,por,-1
3,15,1,m,f,m,por,-1
3,15,2,m,f,m,por,-5
3,15,3,m,f,m,por,-1
3,16,1,f,m,f,por,-3
3,16,2,f,m,f,por,3
3,16,3,f,m,f,por,-1
3,17,1,f,m,f,por,-1
3,17,2,f,m,f,por,0
3,17,3,f,m,f,por,-1
3,18,1,f,m,f,por,5
3,18,2,f,m,f,por,-1
3,18,3,f,m,f,por,5
3,19,1,f,m,f,por,1
3,19,2,f,m,f,por,5
3,19,3,f,m,f,por,-5
3,20,1,f,m,f,por,-1
3,20,2,f,m,f,por,-5
3,20,3,f,m,f,por,1
3,21,1,m,f,m,por,-3
3,21,2,m,f,m,por,-3
3,21,3,m,f,m,por,-3
3,22,1,f,m,f,por,1
3,22,2,f,m,f,por,0
3,22,3,f,m,f,por,3
3,23,1,m,f,m,por,-5
3,23,2,m,f,m,por,3
3,23,3,m,f,m,por,-5
3,24,1,f,m,f,por,-5
3,24,2,f,m,f,por,1
3,24,3,f,m,f,por,1
4,1,1,f,m,f,por,0
4,1,2,f,m,f,por,3
4,1,3,f,m,f,por,1
4,2,1,m,f,m,por,1
4,2,2,m,f,m,por,1
4,2,3,m,f,m,por,-1
4,3,1,m,f,m,por,-5
4,3,2,m,f,m,por,-3
4,3,3,m,f,m,por,-5
4,4,1,m,f,m,por,5
4,4,2,m,f,m,por,5
4,4,3,m,f,m,por,5
4,5,1,f,m,f,por,1
4,5,2,f,m,f,por,5
4,5,3,f,m,f,por,-3
4,6,1,m,f,m,por,-1
4,6,2,m,f,m,por,-3
4,6,3,m,f,m,por,-5
4,7,1,f,m,f,por,5
4,7,2,f,m,f,por,1
4,7,3,f,m,f,por,3
4,8,1,f,m,f,por,1
4,8,2,f,m,f,por,1
4,8,3,f,m,f,por,-3
4,9,1,m,f,m,por,5
4,9,2,m,f,m,por,1
4,9,3,m,f,m,por,1
4,10,1,f,m,f,por,3
4,10,2,f,m,f,por,5
4,10,3,f,m,f,por,3
4,11,1,f,m,f,por,-3
4,11,2,f,m,f,por,-5
4,11,3,f,m,f,por,3
4,12,1,m,f,m,por,3
4,12,2,m,f,m,por,1
4,12,3,m,f,m,por,-5
4,13,1,m,f,m,por,-3
